,Unnamed: 0,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
29,29,Ghana: Keta,unknown: Pennington,,,3.01,2.55,2.76,2.62,11/09/2017 07:15,11/09/2017 11:25,Ghana: Keta->unknown: Pennington,,7232157.196,1649097.126,2.418828117,9.788202299,10.04041012,8.664173668,8.874047414,2.170844036,60.26402111,-0.987611497,0.769300422,210.2777778,13.12124388,40.15266455,48.40839601,2275827.487,0,333450,85000,7086926.794,0,1069040.7,264690.0,8420657.494,8258031.681
30,30,unknown: Pennington,unknown: Pennington,,,2.76,2.62,2.89,2.76,15/09/2017 08:20,15/09/2017 11:20,unknown: Pennington->unknown: Pennington,port_activity,5853874.229,1279262.216,2.30282662,9.204089696,10.10955322,8.319029907,8.20283177,2.020048584,55.74537162,-1.291497622,0.620238694,212.5833333,12.87599626,28.89447251,39.16562578,1708991.867,0,282750,85000,5321800.674,0,906496.5,264690.0,6492987.174,6164669.682
31,31,unknown: Pennington,unknown: Pennington,,,2.88,2.76,2.61,2.61,18/09/2017 07:10,18/09/2017 11:25,unknown: Pennington->unknown: Pennington,port_activity,7536869.109,1675366.625,2.463593727,10.30048749,10.05034868,8.990386127,9.054955651,2.307723574,63.59540852,1.321729335,0.661692948,232.48,10.05716895,41.92596706,49.22199953,2400592.656,0,417300,81600,7475445.53,0,1337863.8,254102.4,9067411.73,7902984.392
32,32,unknown: Pennington,Nigeria: Lagos,,,2.61,2.61,6.43,3.36,19/09/2017 10:55,20/09/2017 07:45,unknown: Pennington->Nigeria: Lagos,,43328564.72,6280614.725,2.137111572,15.17903826,9.684326423,11.0463116,11.50760083,3.289861521,75.71059286,5.171333653,1.156453355,228.7886364,12.8331286,240.6879004,243.0188552,18718314.76,0,1357200,210800,58288832.16,0,4351183.2,656431.2,63296446.56,62679894.56
33,33,Nigeria: Lagos,unknown: Conakry,,,6.43,3.36,9.52,-13.71,25/09/2017 16:00,01/10/2017 00:00,Nigeria: Lagos->unknown: Conakry,,65927489.52,9751010.073,2.415035517,16.93354272,5.298912385,12.44902321,12.40016364,3.857076355,86.84356675,2.175399544,2.924052709,211.8222222,12.41401015,1314.974097,373.9353052,20860044.4,0,1581450,85000,64958178.26,0,5070128.7,264690.0,70292996.96,89273323.23
34,34,unknown: Conakry,Spain: Algeciras,,South Europe,9.51,-13.7,36.14,-5.37,03/10/2017 17:15,10/10/2017 14:45,unknown: Conakry->Spain: Algeciras,,472426136.4,46962499.19,2.118127478,22.71042718,9.214281932,12.64293839,12.93155147,3.93528825,89.49604203,2.723995959,1.467920762,103.454083,9.533064313,2102.366241,2100.063582,165727852.8,0,8743800,163200,516076533.6,0,28032622.8,508204.8,544617361.2,519853387.3
35,35,Spain: Algeciras,Ukraine: Odessa,South Europe,,36.14,-5.37,46.33,31.05,10/10/2017 23:00,18/10/2017 09:45,Spain: Algeciras->Ukraine: Odessa,,390953238.7,49046512.45,2.051175517,16.83311218,9.304385575,12.21853705,12.58363661,3.705944388,87.3524188,3.538960121,1.5267789,107.5681564,10.69337696,2181.576505,2187.118132,171572690.9,0,10157550,703800,534277359.3,0,32565105.3,2191633.2,569034097.8,554049997.5
36,36,Ukraine: Odessa,Ukraine: Halytsynove,,,46.33,31.05,46.77,31.94,19/10/2017 13:20,19/10/2017 22:20,Ukraine: Odessa->Ukraine: Halytsynove,,9479965.768,2980148.223,2.230928177,7.306331998,9.965435487,7.230109368,7.942780269,1.433509462,51.43628049,0.775898827,0.507845405,204.1983333,9.341673898,66.90251676,72.30109368,2712434.376,0,1242150,411400,8446520.647,0,3982332.9,1281099.6,13709953.15,10125523.07
37,37,Ukraine: Halytsynove,Russian Federation: Novorossiysk,,,46.77,31.94,44.38,37.55,21/10/2017 15:35,23/10/2017 04:00,Ukraine: Halytsynove->Russian Federation: Novorossiysk,,63589557.83,10965820.35,2.160256168,12.8971824,5.395883706,11.11764239,11.53395222,2.836922996,73.58411998,2.440899632,2.662554407,192.375,12.39670319,418.1432312,422.4704109,22452972.57,0,2455050,418200,69918556.57,0,7870890.3,1302274.8,79091721.67,98998393.22
38,38,Russian Federation: Novorossiysk,Russian Federation: Novorossiysk,,,44.38,37.55,44.73,37.8,23/10/2017 08:35,23/10/2017 15:05,Russian Federation: Novorossiysk->Russian Federation: Novorossiysk,port_activity,4728849.821,2376773.673,2.253933312,4.261797245,5.757741964,4.681652497,4.950502843,0.767330833,25.1126271,-9.967737155,1.899147488,85.37083333,10.69691099,30.81325516,44.86524979,1019227.403,0,604500,299200,3173874.134,0,1938027.0,931708.8,6043609.934,6074706.314
